"ID_COMCOM","Nom_COMCOM","ID","nom_ID","Type","X","Y"
"6","QBO","29000228","KERVAVARN","OUV",165353,6802501
"7","SMA","29000151","Coatigrac'h","OUV",176067.769999999,6812901.24
"7","SMA","29000152","Prat-Hir","OUV",176497.899999999,6810584.80999999
"1","CCPCAM","T1011","Usine de Poraon","TPP",150581.8103,6819324.0725
"1","CCPCAM","T1021","Station de Kernagoff","TPP",157067.1604,6819380.9779
"1","CCPCAM","T1041","Station de Rozvalen","TPP",175623.3558,6818089.1598
"1","CCPCAM","T1051","Station de Goastalan","TPP",172507.7088,6823262.202
"1","CCPCAM","T1052","Station du Pouldu","TPP",175623.3558,6818089.1598
"2","DZCO","T2011","Station de Nankou","TPP",154331.8337,6800262.2294
"2","DZCO","T2012","Usine de Kervignac","TPP",157288.1956,6801273.622
"2","DZCO","T2041","Station de Lezaff","TPP",149472.0366,6799634.4576
"2","DZCO","T2031","Station de Kerstrat","TPP",155399.0814,6795555.0474
"3","CCHPB","T3011","Station de Saint-avé","TPP",157621.062,6790916.4234
"3","CCHPB","T3021","Station de Kergamet","TPP",152835.5202,6791073.9522
"3","CCHPB","T3031","Station de Kerlaeron","TPP",150454.0279,6791565.719
"4","CCPF","T4041","Usine de Penalen","TPP",177121.1898,6779046.2598
"4","CCPF","T4021","Usine de Keraven","TPP",171633.3444,6777166.9968
"4","CCPF","T4022","Station de Cheffontaine","TPP",174074.6679,6778772.8979
"4","CCPF","T4031","Station de Roud Guen","TPP",172514.8638,6780765.2124
"4","CCPF","T4051","Station de Lanveron","TPP",179267.8176,6784082.5998
"4","CCPF","T4012","Brehoulou","TPP",176445,6777420
"5","CCPCP","T5012","Station de Brigneun","TPP",165265.717,6817080.2455
"5","CCPCP","T5011","Station de Toul Argloet","TPP",163347.4306,6817137.1165
"5","CCPCP","T5021","Station de Lescorveau","TPP",160168.0413,6815370.2159
"5","CCPCP","T5031","Station de Kergaoc","TPP",164188.0255,6814596.0297
"5","CCPCP","T5032","Station de Kernevez","TPP",167278.378,6814113.1074
