"ID_COMCOM","Nom_COMCOM","ID_URD","Nom_URD","X","Y","Export_2019","Commentaires","Cost"
"HP","CC Pays Bigouden Sud","HP1","CCPBS","161157.200392","6776284.15118",429001,"Contient l'export vers Ploneour (HPB) et vers le resoir Benodet(CCPF)",1
"HP","CC Monts d'ArrÚe CommunautÚ","HP3","Brasparts","185438.668330289","6824786.8489688",65448,NA,1
