"Date";"Vol_1stday";"dates_last";"Vol_Lastday";"Vol_Aulne_m3_Mois";"Vol_Loquefret_m3_Mois";"Vol_Prelevable_Aulne_m3_Mois_DR";"Vol_Prelevable_Aulne_m3_Mois_DOE";"Vol_Prelevable_Aulne_m3_Mois_PMIN_JOUR";"Recharge_m3_Mois";"Monthly_val_mean.Debit_reserve";"DOE";"Facteur correction";"Volume_Disponible_DR";"Volume_Soutien_DR";"Volume_Disponible_DOE";"Volume_Soutien_DOE";"Vol_Prelevable_Aulne_m3_Mois_MIN_DR_DOE";"Volume_Disponible_MIN_DR_DOE";"Volume_Soutien_MIN_DR_DOE";"Volume_Disponible_PMIN_Jour";"Volume_Soutien_PMIN_Jour"
"2011-01-01";2804000;2011-01-31;3710000;94780800;3153600;85764096;88067520;85764096;4059600;2.66;1.8;1;85764096;0;88067520;0;85764096;85764096;0;85764096;0
"2011-02-01";3680000;2011-02-28;5492000;73949760;1677888;66507955.2;68588467.2;66507955.2;3459888;2.66;1.8;1;66507955.2;0;68588467.2;0;66507955.2;66507955.2;0;66507955.2;0
"2011-03-01";5492000;2011-03-31;5460000;49083840;1284768;41188435.2;43491859.2;41188435.2;1252768;2.66;1.8;1;41188435.2;0;43491859.2;0;41188435.2;41188435.2;0;41188435.2;0
"2011-04-01";5492000;2011-04-30;5424000;16768512;516672;9563788.8;11792908.8;9563788.8;480672;2.66;1.8;1;9563788.8;0;11792908.8;0;9563788.8;9563788.8;0;9563788.8;0
"2011-05-01";5424000;2011-05-31;5020000;12693888;466560;5437152;7592832;5437152;62560;2.60483870967742;1.8;1;5437152;0;7592832;0;5437152;5437152;0;5437152;0
"2011-06-01";4990000;2011-06-30;5524000;7011360;483840;1245024;2055456;803520;987840;2.11266666666667;1.8;1;1245024;0;2055456;0;1245024;1245024;0;803520;0
"2011-07-01";5492000;2011-07-31;5240000;4791744;600480;212544;-389664;-695520;316480;1.57516129032258;1.8;1;212544;0;0;-389664;-389664;0;-389664;0;-695520
"2011-08-01";5200000;2011-08-31;4620000;5187456;1206144;638841.6;-357350.4;-587174.4;586144;1.42806451612903;1.8;1;638841.6;0;0;-357350.4;-357350.4;0;-357350.4;0;-587174.4
"2011-09-01";4588000;2011-09-30;3516000;4689792;1740096;657158.4;-1019865.6;-1168473.6;636096;1.153;1.8;1;657158.4;0;0;-1019865.6;-1019865.6;0;-1019865.6;0;-1168473.6
"2011-10-01";3438000;2011-10-31;2132000;6369408;2191968;1374451.2;233107.2;-295660.8;807968;1.37387096774194;1.8;1;1374451.2;0;233107.2;0;233107.2;233107.2;0;0;-295660.8
"2011-11-01";2158000;2011-11-30;2532000;6657120;501984;284601.6;1690329.6;209433.6;901984;2.34233333333333;1.8;1;284601.6;0;1690329.6;0;284601.6;284601.6;0;209433.6;0
"2011-12-01";2608000;2011-12-31;8394000;119371104;2071872;111003436.8;113306860.8;111003436.8;7933872;2.66;1.8;1;111003436.8;0;113306860.8;0;111003436.8;111003436.8;0;111003436.8;0
