"Date";"Vol_Steir_m3_Mois";"Vol_Prelevable_Steir_m3_Mois_DOE";"DOE";"Volume_Disponible_DOE";"Volume_Soutien_DOE"
"2015-01-01";24753600;23735808;0.38;23735808;0
"2015-02-01";19552320;18633024;0.38;18633024;0
"2015-03-01";15998688;14980896;0.38;14980896;0
"2015-04-01";6815232;5830272;0.38;5830272;0
"2015-05-01";8703936;7686144;0.38;7686144;0
"2015-06-01";3243974.4;2259014.4;0.38;2259014.4;0
"2015-07-01";2075241.6;1057449.6;0.38;1057449.6;0
"2015-08-01";2385590.4;1367798.4;0.38;1367798.4;0
"2015-09-01";2379715.2;1394755.2;0.38;1394755.2;0
"2015-10-01";2978985.6;1961193.6;0.38;1961193.6;0
"2015-11-01";8581248;7596288;0.38;7596288;0
"2015-12-01";13455936;12438144;0.38;12438144;0
